Food code,Food,Category,Type,Calories (kcal/100g),Protein (g),Carbohydrate (g),Fat (g),Fiber (g),Sugars (g),Vitamin A (mcg),Vitamin B-6 (mg),Vitamin B-12 (mcg),Vitamin C (mg),Vitamin D (mcg),Vitamin E (mg)
95104000,"Nutritional drink or shake, ready-to-drink, sugar free (Glucerna)",Nutritional beverages,Beverage,88,4.4,11.88,3.08,2.2,2.64,165,0.22,0.66,26.4,1.1,1.46
95105000,"Nutritional drink or shake, ready-to-drink (Kellogg's Special K Protein)",Nutritional beverages,Beverage,64,3.2,9.2,1.6,1.7,5.95,169,0.23,0.7,20.0,1.1,4.5
95106000,"Nutritional drink or shake, ready-to-drink (Muscle Milk)",Nutritional beverages,Beverage,52,5.87,2.28,2.17,0.2,0.78,88,0.224,0.69,27.6,0.7,0.83
95106010,"Nutritional drink or shake, ready-to-drink, light (Muscle Milk)",Nutritional beverages,Beverage,38,4.78,2.1,1.15,0.2,0.38,100,0.134,0.4,4.0,0.7,0.9
95110000,"Nutritional drink or shake, ready-to-drink (Slim Fast)",Nutritional beverages,Beverage,57,3.32,7.74,1.93,1.6,5.95,170,0.225,0.68,19.4,1.1,4.58
95110010,"Nutritional drink or shake, ready-to-drink, sugar free (Slim Fast)",Nutritional beverages,Beverage,57,3.32,7.74,1.93,1.6,5.95,170,0.225,0.68,19.4,1.1,4.58
95110020,"Nutritional drink or shake, high protein, ready-to-drink (Slim Fast)",Nutritional beverages,Beverage,61,6.59,0.85,3.38,0.4,0.6,171,0.208,0.6,19.4,1.1,4.58
95120050,"Nutritional drink or shake, liquid, soy-based",Nutritional beverages,Beverage,138,5.38,17.29,5.38,1.2,8.46,84,0.269,0.81,23.1,2.3,5.19
95312400,"Energy drink, low calorie (Monster)",Diet drinks,Beverage,5,0.0,1.38,0.0,0.0,1.38,0,0.833,2.5,0.0,0.0,0.0
95312410,"Energy drink, sugar free (Monster)",Diet drinks,Beverage,5,0.0,1.38,0.0,0.0,1.38,0,0.833,2.5,0.0,0.0,0.0
95312500,"Energy drink, sugar free (Mountain Dew AMP)",Diet drinks,Beverage,2,0.0,1.03,0.0,0.0,0.0,0,0.083,0.25,0.0,0.0,0.0
95312550,"Energy drink, sugar free (No Fear)",Diet drinks,Beverage,4,0.42,0.42,0.0,0.0,0.0,0,0.833,2.5,25.0,0.0,0.0
95312555,"Energy drink, sugar-free (NOS)",Diet drinks,Beverage,4,0.0,1.03,0.0,0.0,0.0,0,0.833,2.5,0.0,0.0,0.0
95312600,"Energy drink, sugar-free (Red Bull)",Diet drinks,Beverage,5,0.25,0.7,0.08,0.0,0.0,0,1.995,1.99,0.0,0.0,0.0
95312700,"Energy drink, sugar free (Rockstar)",Diet drinks,Beverage,4,0.25,0.7,0.08,0.0,0.0,0,0.833,2.5,0.0,0.0,0.0
95312800,"Energy drink, sugar free (Vault)",Diet drinks,Beverage,1,0.25,0.7,0.08,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
95313200,"Energy drink, sugar free",Diet drinks,Beverage,4,0.25,0.7,0.08,0.0,0.0,0,1.414,2.24,0.0,0.0,0.0
95322200,"Sports drink, low calorie (Gatorade G2)",Diet drinks,Beverage,8,0.05,1.94,0.01,0.0,1.3,0,0.0,0.0,0.0,0.0,0.0
95322500,"Sports drink, low calorie (Powerade Zero)",Diet drinks,Beverage,0,0.0,0.14,0.0,0.0,0.0,0,0.083,0.25,0.0,0.0,0.0
95323000,"Sports drink, low calorie",Diet drinks,Beverage,8,0.05,1.94,0.01,0.0,1.3,0,0.0,0.0,0.0,0.0,0.0
