Food code,Food,Category,Type,Calories (kcal/100g),Protein (g),Carbohydrate (g),Fat (g),Fiber (g),Sugars (g),Vitamin A (mcg),Vitamin B-6 (mg),Vitamin B-12 (mcg),Vitamin C (mg),Vitamin D (mcg),Vitamin E (mg)
11513355,"Chocolate milk, made from reduced sugar mix with whole milk",Milk,Beverage,73,3.53,7.42,3.26,0.4,5.78,31,0.13699999999999998,0.52,2.4,1.1,0.05
11513360,"Chocolate milk, made from reduced sugar mix with reduced fat milk",Milk,Beverage,63,3.6,7.64,2.01,0.4,5.86,79,0.13699999999999998,0.53,2.5,1.1,0.03
11513365,"Chocolate milk, made from reduced sugar mix with low fat milk",Milk,Beverage,56,3.63,7.91,1.1,0.4,5.92,55,0.136,0.58,2.4,1.1,0.02
11513370,"Chocolate milk, made from reduced sugar mix with fat free milk",Milk,Beverage,48,3.67,7.63,0.27,0.4,6.01,61,0.134,0.56,2.4,1.1,0.0
11513375,"Chocolate milk, made from reduced sugar mix with non-dairy milk",Milk substitutes,Beverage,50,1.82,7.81,1.34,0.6,5.2,68,0.093,0.41,2.4,1.0,1.34
11513550,"Chocolate milk, made from syrup with reduced fat milk",Milk,Beverage,79,2.9,13.21,1.65,0.0,12.23,72,0.054000000000000006,0.48,0.2,1.0,0.03
11513600,"Chocolate milk, made from syrup with low fat milk",Milk,Beverage,73,2.93,13.45,0.82,0.0,12.29,50,0.053,0.53,0.0,1.0,0.02
11513700,"Chocolate milk, made from syrup with fat free milk",Milk,Beverage,65,2.97,13.19,0.07,0.0,12.37,55,0.051,0.5,0.0,1.0,0.0
11513750,"Chocolate milk, made from syrup with non-dairy milk",Milk substitutes,Beverage,67,1.29,13.36,1.04,0.2,11.64,61,0.015,0.37,0.0,0.9,1.22
11513802,"Chocolate milk, made from light syrup with reduced fat milk",Milk,Beverage,63,3.1,8.63,1.78,0.0,7.86,73,0.054000000000000006,0.48,0.2,1.0,0.03
11513803,"Chocolate milk, made from light syrup with low fat milk",Milk,Beverage,57,3.13,8.87,0.95,0.0,7.92,51,0.054000000000000006,0.53,0.0,1.0,0.02
